ImageId,EncodedPixels
8922a6ac8fd0258ec27738ca101867169b20d90a60fc84f93df77acd5bf7c80b,124421 8 124933 8 125441 16 125953 16 126465 19 126977 20 127489 20 128001 24 128513 24 129025 25 129537 26 130049 26 130561 28 131073 28 131585 28 132097 28 132609 28 133121 28 133633 28 134145 29 134657 30 135169 30 135681 30 136193 30 136705 30 137217 30 137729 30 138241 28 138753 28 139265 28 139777 28 140289 28 140801 24 141313 24 141826 22 142339 20 142851 20 143367 14 143879 14 144394 10 144907 8 145419 8
8922a6ac8fd0258ec27738ca101867169b20d90a60fc84f93df77acd5bf7c80b,241758 6 242269 8 242781 8 243291 24 243803 24 244314 42 244825 44 245337 44 245849 48 246361 48 246873 51 247385 52 247897 52 248409 56 248921 56 249430 62 249941 64 250453 64 250961 68 251049 8 251473 68 251561 8 251984 70 252068 2 252072 10 252495 72 252579 20 253007 72 253091 20 253519 74 253599 32 254031 74 254111 32 254542 114 255053 116 255565 116 256077 118 256589 118 257101 118 257613 118 258125 118 258637 120 259149 120 259662 119 260175 118 260687 118 261199 118 261711 118 262224 118 262737 66 262805 50 263249 66 263317 50 263763 62 263831 48 264275 62 264343 48 264790 59 264855 48 265303 58 265367 48 265815 58 265879 48 266331 110 266843 110 267356 109 267869 108 268381 108 268895 106 269407 106 269920 104 270433 102 270945 102 271457 102 271969 102 272481 101 272993 100 273505 100 274021 94 274533 94 275048 91 275561 90 276073 90 276589 44 276641 34 277101 44 277153 34 277614 42 277668 30 278127 40 278181 28 278639 40 278693 28 279159 24 279209 4 279219 6 279671 24 279721 4 279731 6 280186 18 280699 16 281211 16
8922a6ac8fd0258ec27738ca101867169b20d90a60fc84f93df77acd5bf7c80b,199837 14 200349 14 200860 16 201369 24 201881 24 202389 30 202901 30 203412 32 203921 36 204433 36 204943 40 205455 40 205966 42 206477 44 206989 44 207501 46 208013 46 208524 47 209035 48 209547 48 210059 50 210571 50 211084 48 211597 46 212109 46 212621 46 213133 46 213645 46 214157 46 214669 46 215183 44 215695 44 216207 43 216719 42 217231 42 217745 38 218257 38 218770 37 219283 36 219795 36 220309 32 220821 32 221334 31 221847 30 222359 30 222877 20 223389 20
8922a6ac8fd0258ec27738ca101867169b20d90a60fc84f93df77acd5bf7c80b,158905 8 159417 8 159928 10 160439 12 160951 12 161463 14 161975 14 162487 15 162999 16 163511 16 164021 20 164533 20 165044 21 165553 24 166065 24 166567 36 167079 36 167590 37 168097 42 168609 42 169117 46 169629 46 170141 46 170653 46 171165 46 171675 48 172187 48 172699 48 173211 48 173723 48 174235 46 174747 46 175259 46 175771 46 176283 46 176795 46 177307 46 177819 45 178331 44 178843 44 179357 42 179869 42 180382 40 180895 38 181407 38 181923 32 182435 32 182954 22 183467 20 183979 20
8922a6ac8fd0258ec27738ca101867169b20d90a60fc84f93df77acd5bf7c80b,164109 16 164621 16 165133 17 165645 22 166157 22 166667 28 167179 28 167691 29 168203 30 168715 30 169227 32 169739 32 170251 32 170763 32 171275 32 171787 34 172299 34 172811 34 173323 34 173835 34 174349 32 174861 32 175373 32 175885 32 176397 32 176909 34 177421 34 177933 35 178445 36 178957 36 179471 34 179983 34 180495 34 181007 34 181519 34 182033 32 182545 32 183058 31 183571 30 184083 30 184597 26 185109 26 185622 24 186135 22 186647 22 187161 16 187673 16 188194 7 188707 6 189219 6 189731 6 190243 6 190756 5 191269 4 191781 4
8922a6ac8fd0258ec27738ca101867169b20d90a60fc84f93df77acd5bf7c80b,309043 4 309555 4 310053 24 310565 24 311076 26 311583 34 312095 34 312601 42 313113 42 313624 44 314135 46 314647 46 315157 48 315669 48 316181 49 316693 50 317205 50 317715 56 318227 56 318739 57 319251 58 319763 58 320275 60 320787 60 321299 61 321811 62 322323 62 322835 62 323347 62 323860 62 324373 62 324885 62 325397 62 325909 62 326422 61 326935 60 327447 60
8922a6ac8fd0258ec27738ca101867169b20d90a60fc84f93df77acd5bf7c80b,229733 6 230245 6 230753 18 231265 18 231776 20 232287 22 232799 22 233309 26 233821 26 234333 27 234845 34 235357 34 235869 38 236381 38 236893 39 237405 40 237917 40 238429 42 238941 42 239453 43 239965 44 240477 44 240991 44 241503 44 242016 43 242529 42 243041 42 243555 42 244067 42 244579 43 245091 44 245603 44 246117 40 246629 40 247142 39 247655 38 248167 38 248681 34 249193 34 249706 33 250219 32 250731 32 251245 28 251757 28 252270 26 252783 24 253295 24 253819 10 254331 10
8922a6ac8fd0258ec27738ca101867169b20d90a60fc84f93df77acd5bf7c80b,129959 12 130471 12 130979 20 131491 20 132002 22 132513 24 133025 24 133537 26 134049 26 134560 26 135071 26 135583 26 136091 28 136603 28 137114 29 137621 34 138133 34 138635 44 139147 44 139658 46 140169 48 140681 48 141191 48 141703 48 142215 48 142727 48 143239 48 143749 48 144261 48 144773 48 145285 48 145797 48 146309 46 146821 46 147333 46 147845 46 148357 46 148871 42 149383 42 149896 41 150409 40 150921 40 151433 36 151945 36 152458 34 152971 32 153483 32 153997 30 154509 30 155020 31 155527 36 156039 36 156547 38 157059 38 157570 39 158079 42 158591 42 159097 48 159609 48 160120 49 160631 50 161143 50 161655 48 162167 48 162678 49 163189 50 163701 50 164213 50 164725 50 165237 49 165749 48 166261 48 166773 48 167285 48 167797 47 168309 46 168821 46 169333 44 169845 44 170356 44 170867 44 171379 44 171893 40 172405 40 172917 39 173429 38 173941 38 174455 34 174967 34 175482 28 175995 26 176507 26 177021 20 177533 20 178050 12 178563 10 179075 10
8922a6ac8fd0258ec27738ca101867169b20d90a60fc84f93df77acd5bf7c80b,251309 14 251821 14 252332 16 252837 28 253349 28 253857 34 254369 34 254880 36 255391 38 255903 38 256413 42 256925 42 257436 43 257941 50 258453 50 258961 54 259473 54 259984 55 260493 58 261005 58 261515 62 262027 62 262538 64 263049 86 263561 86 264073 90 264585 90 265096 92 265607 94 266119 94 266631 96 267143 96 267655 97 268167 98 268679 98 269191 98 269703 98 270215 99 270727 100 271239 100 271751 100 272263 100 272775 101 273287 106 273799 106 274311 114 274823 114 275336 114 275849 118 276361 118 276875 118 277387 118 277900 117 278413 116 278925 116 279441 112 279953 112 280470 107 280983 106 281495 106 282019 94 282531 94 283044 93 283557 92 284069 92 284585 88 285097 88 285614 83 286127 82 286639 82 287161 72 287673 72 288188 68 288701 66 289213 66 289727 50 290239 50 290751 29 291263 28 291775 28 292287 10 292799 10 293311 10 293823 10 294335 10 294849 4 295361 4
8922a6ac8fd0258ec27738ca101867169b20d90a60fc84f93df77acd5bf7c80b,171953 18 172465 18 172976 20 173485 28 173997 28 174507 32 175019 32 175530 34 176041 36 176553 36 177065 38 177577 38 178088 39 178599 40 179111 40 179623 42 180135 42 180647 42 181159 42 181671 42 182183 44 182235 6 182695 44 182747 6 183207 44 183258 8 183719 44 183769 14 184231 44 184281 14 184745 44 184793 18 184825 4 185257 44 185305 18 185337 4 185769 45 185816 20 185848 6 186281 72 186355 14 186793 72 186867 14 187307 86 187819 86 188332 85 188845 84 189357 84 189871 82 190383 82 190898 79 191411 78 191923 78 192437 76 192949 76 193461 76 193973 76 194485 76 194999 28 195031 42 195511 28 195543 42 196024 27 196055 42 196537 26 196567 42 197049 26 197079 42 197563 4 197573 14 197591 42 198075 4 198085 14 198103 42 198598 14 198615 42 199111 14 199127 42 199623 14 199639 42 200143 2 200151 42 200655 2 200663 42 201176 41 201689 40 202201 40 202717 36 203229 36 203744 33 204257 32 204769 32 205285 28 205797 28 206312 25 206825 24 207337 24 207853 20 208365 20 208878 19 209391 18 209903 18 210417 16 210929 16 211442 15 211955 14 212467 14 212979 14 213491 14 214006 11 214519 10 215031 10
